"Year","std_Weight","ARS","rel_ARS","Age","Centered_Age","Year2","animal","StagCode"
"1986",-1.75647343722905,0,0,5,-3.91425120772947,1986,359,359
"1986",-1.62540209474708,0,0,7,-1.91425120772947,1986,232,232
"1986",-1.72687668247506,0,0,7,-1.91425120772947,1986,232,232
"1987",-0.399250826367295,2,1.48121645796064,11,2.08574879227053,1987,40,40
"1987",-0.521865953205273,0,0,12,3.08574879227053,1987,253,253
"1987",-0.521865953205273,0,0,10,1.08574879227053,1987,279,279
"1987",0.234965346932591,2,1.48121645796064,11,2.08574879227053,1987,135,135
"1987",-0.0610022006073557,0,0,8,-0.914251207729469,1987,339,339
"1987",-0.59797189400126,0,0,8,-0.914251207729469,1987,339,339
"1987",0.0320161714766276,0,0,8,-0.914251207729469,1987,239,239
"1987",-1.27024103769914,1,0.740608228980322,6,-2.91425120772947,1987,265,265
"1987",-1.5154712913751,1,0.740608228980322,6,-2.91425120772947,1987,265,265
"1987",0.340668042482572,0,0,10,1.08574879227053,1987,245,245
"1987",-0.0863708475393512,0,0,10,1.08574879227053,1987,245,245
"1987",-0.255495160419321,6,4.44364937388193,7,-1.91425120772947,1987,198,198
"1987",-1.55352426177309,0,0,8,-0.914251207729469,1987,232,232
"1987",-0.137108141403342,0,0,8,-0.914251207729469,1987,210,210
"1987",-0.792464853813225,0,0,6,-2.91425120772947,1987,309,309
"1987",-0.602200001823259,0,0,6,-2.91425120772947,1987,309,309
"1987",-1.89177288753303,3,2.22182468694097,5,-3.91425120772947,1987,360,360
"1987",-1.91714153446502,3,2.22182468694097,5,-3.91425120772947,1987,360,360
"1987",0.729653962106503,0,0,13,4.08574879227053,1987,149,149
"1987",0.0108756323666314,0,0,9,0.0857487922705307,1987,164,164
"1987",-1.68882371207706,0,0,5,-3.91425120772947,1987,178,178
"1988",-2.08626584734499,0,0,5,-3.91425120772947,1988,374,374
"1988",-0.98695781362519,0,0,7,-1.91425120772947,1988,146,146
"1988",0.514020463184541,1,0.740608228980322,11,2.08574879227053,1988,308,308
"1988",0.175771837424602,4,2.96243291592129,8,-0.914251207729469,1988,198,198
"1988",0.666232344776514,4,2.96243291592129,12,3.08574879227053,1988,182,182
"1988",0.205368592178597,4,2.96243291592129,12,3.08574879227053,1988,182,182
"1988",0.230737239110592,1,0.740608228980322,9,0.0857487922705307,1988,193,193
"1988",0.141946974848608,1,0.740608228980322,7,-1.91425120772947,1988,309,309
"1988",-0.276635699529317,0,0,12,3.08574879227053,1988,135,135
"1988",-0.348513532503304,0,0,8,-0.914251207729469,1988,373,373
"1988",1.41460742927038,0,0,9,0.0857487922705307,1988,334,334
"1988",0.0193318480106299,2,1.48121645796064,11,2.08574879227053,1988,279,279
"1988",-0.944676735405197,3,2.22182468694097,7,-1.91425120772947,1988,265,265
"1988",0.818444226368487,2,1.48121645796064,11,2.08574879227053,1988,173,173
